latitude,longitude,e2008g_N,e2008g_n,p
40.2876,-74.6393,1,1,1
40.312,-74.6393,2,2,1
40.2852,-74.6392,4,3,0.75
40.2876,-74.6392,4,3,0.75
40.2857,-74.6391,2,2,1
40.2864,-74.6391,3,3,1
40.3106,-74.6391,1,1,1
40.3109,-74.6391,1,1,1
40.311,-74.6391,2,0,0
40.3112,-74.6391,1,1,1
40.312,-74.6391,2,2,1
40.2862,-74.639,5,3,0.6
40.309,-74.639,2,2,1
40.3114,-74.639,2,0,0
40.2566,-74.6389,1,1,1
40.2866,-74.6389,1,1,1
40.3081,-74.6389,1,0,0
40.3104,-74.6389,2,2,1
40.312,-74.6389,2,2,1
40.2564,-74.6388,1,0,0
40.2871,-74.6388,2,2,1
40.2892,-74.6388,5,2,0.4
40.3086,-74.6388,1,0,0
40.309,-74.6388,3,0,0
40.3107,-74.6388,2,0,0
40.2874,-74.6387,4,4,1
40.2876,-74.6387,2,2,1
40.3081,-74.6387,2,2,1
40.3094,-74.6387,3,2,0.666666667
40.3112,-74.6387,1,0,0
40.312,-74.6387,2,2,1
40.3085,-74.6386,2,0,0
40.3105,-74.6386,2,1,0.5
40.3151,-74.6386,2,2,1
40.3081,-74.6385,4,0,0
40.3094,-74.6385,1,1,1
40.3119,-74.6385,2,2,1
40.3151,-74.6385,7,4,0.571428571
40.3152,-74.6385,3,3,1
40.3154,-74.6385,5,4,0.8
40.3284,-74.6385,2,1,0.5
40.2472,-74.6384,2,2,1
40.2474,-74.6384,2,1,0.5
40.2475,-74.6384,2,1,0.5
40.2477,-74.6384,2,2,1
40.256,-74.6384,3,3,1
40.3089,-74.6384,1,0,0
40.315,-74.6384,5,3,0.6
40.3151,-74.6384,6,5,0.833333333
40.3152,-74.6384,1,1,1
40.3155,-74.6384,2,1,0.5
40.3225,-74.6384,1,0,0
40.2464,-74.6383,4,2,0.5
40.248,-74.6383,3,3,1
40.2482,-74.6383,3,1,0.333333333
40.2483,-74.6383,2,2,1
40.2485,-74.6383,1,0,0
40.2486,-74.6383,1,1,1
40.2491,-74.6383,2,2,1
40.2801,-74.6383,4,3,0.75
40.3102,-74.6383,1,0,0
40.3118,-74.6383,1,1,1
40.3151,-74.6383,1,1,1
40.3152,-74.6383,3,3,1
40.3154,-74.6383,2,1,0.5
40.2527,-74.6382,3,1,0.333333333
40.2873,-74.6382,3,0,0
40.2892,-74.6382,4,2,0.5
40.3085,-74.6382,2,2,1
40.3089,-74.6382,2,0,0
40.3117,-74.6382,2,2,1
40.2451,-74.6381,2,1,0.5
40.2482,-74.6381,2,2,1
40.2486,-74.6381,2,2,1
40.2487,-74.6381,2,2,1
40.2489,-74.6381,2,2,1
40.249,-74.6381,2,2,1
40.2494,-74.6381,4,2,0.5
40.2875,-74.6381,4,4,1
40.3094,-74.6381,2,2,1
40.3103,-74.6381,2,2,1
40.3281,-74.6381,1,0,0
40.3085,-74.638,2,2,1
40.3088,-74.638,2,2,1
40.3116,-74.638,2,2,1
40.2528,-74.6379,2,2,1
40.2528,-74.6378,2,2,1
